"BCMountfordoriginal","0.125","0.30416666666666664","0.3227755067810718"
"BCMountfordinheritance","0.125","0.30416666666666664","0.3227755067810718"
"BCMountfordCC","0.125","0.3138888888888889","0.3218028880626028"
"BCMountfordRC","0.25","0.34444444444444444","0.31253394877325313"
"BCMountfordRCR","0.125","0.3277777777777778","0.3181859267010679"
"WCMountfordoriginal","0.25","0.36944444444444446","0.308395889550036"
"WCMountfordinheritance","0.25","0.36944444444444446","0.308395889550036"
"WCMountfordCC","0.25","0.33611111111111114","0.319854808882768"
"WCMountfordRC","0.25","0.35","0.3102418411497713"
"WCMountfordRCR","0.125","0.33055555555555555","0.31694675722206134"
"ACMountfordoriginal","0.1875","0.3368055555555556","0.3141200292036686"
"ACMountfordinheritance","0.1875","0.3368055555555556","0.3141200292036686"
"ACMountfordCC","0.1875","0.325","0.31993923034087446"
"ACMountfordRC","0.25","0.3472222222222222","0.3111235116576258"
"ACMountfordRCR","0.125","0.32916666666666666","0.3174332825790152"
"BCKulcynski2original","0.125","0.3013888888888889","0.3183586619746994"
"BCKulcynski2inheritance","0.125","0.3013888888888889","0.3183586619746994"
"BCKulcynski2CC","0.125","0.30833333333333335","0.3185252475602731"
"BCKulcynski2RC","0.25","0.3388888888888889","0.3091455767988941"
"BCKulcynski2RCR","0.125","0.32222222222222224","0.31456417037537926"
"WCKulcynski2original","0.25","0.3597222222222222","0.3066552181840481"
"WCKulcynski2inheritance","0.25","0.3597222222222222","0.3066552181840481"
"WCKulcynski2CC","0.125","0.3263888888888889","0.3171566628110343"
"WCKulcynski2RC","0.25","0.34305555555555556","0.30763496987722"
"WCKulcynski2RCR","0.125","0.3236111111111111","0.31396569856680717"
"ACKulcynski2original","0.1875","0.33055555555555555","0.3110025852379548"
"ACKulcynski2inheritance","0.1875","0.33055555555555555","0.3110025852379548"
"ACKulcynski2CC","0.125","0.3173611111111111","0.3170813865711397"
"ACKulcynski2RC","0.25","0.34097222222222223","0.3081870586466666"
"ACKulcynski2RCR","0.125","0.3229166666666667","0.31419678237619736"
"BCZoltaroriginal","0.125","0.32916666666666666","0.32083333333333336"
"BCZoltarinheritance","0.125","0.32916666666666666","0.32083333333333336"
"BCZoltarCC","0.125","0.33611111111111114","0.3214790279817623"
"BCZoltarRC","0.25","0.3625","0.3118326207011276"
"BCZoltarRCR","0.25","0.3486111111111111","0.3181404544622266"
"WCZoltaroriginal","0.25","0.38472222222222224","0.31081645272403247"
"WCZoltarinheritance","0.25","0.38472222222222224","0.31081645272403247"
"WCZoltarCC","0.25","0.3541666666666667","0.32072508996543037"
"WCZoltarRC","0.25","0.36666666666666664","0.3116934034877506"
"WCZoltarRCR","0.25","0.35","0.3174332825790151"
"ACZoltaroriginal","0.1875","0.35694444444444445","0.31433412375691044"
"ACZoltarinheritance","0.1875","0.35694444444444445","0.31433412375691044"
"ACZoltarCC","0.1875","0.3451388888888889","0.32034971366181964"
"ACZoltarRC","0.25","0.3645833333333333","0.311561089515363"
"ACZoltarRCR","0.25","0.34930555555555554","0.3177195277323525"
"BCOchiaioriginal","0.125","0.30416666666666664","0.3227755067810718"
"BCOchiaiinheritance","0.125","0.30416666666666664","0.3227755067810718"
"BCOchiaiCC","0.125","0.3111111111111111","0.32288007558515686"
"BCOchiaiRC","0.25","0.3416666666666667","0.31335992794938616"
"BCOchiaiRCR","0.125","0.325","0.31885210782848333"
"WCOchiaioriginal","0.25","0.3625","0.3118326207011276"
"WCOchiaiinheritance","0.25","0.3625","0.3118326207011276"
"WCOchiaiCC","0.125","0.32916666666666666","0.32245262356576426"
"WCOchiaiRC","0.25","0.3458333333333333","0.31183262070112755"
"WCOchiaiRCR","0.125","0.3263888888888889","0.31824957692018474"
"ACOchiaioriginal","0.1875","0.3333333333333333","0.31581574269395335"
"ACOchiaiinheritance","0.1875","0.3333333333333333","0.31581574269395335"
"ACOchiaiCC","0.125","0.32013888888888886","0.32191751037751015"
"ACOchiaiRC","0.25","0.34375","0.3123958159664328"
"ACOchiaiRCR","0.125","0.32569444444444445","0.3184836093326944"
