"OCL4",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","4","4","1.0","4","0.13333333333333333","4","0.13333333333333333","4","0.5517241379310345","5","5","1.0","5","0.13333333333333333","5","0.13333333333333333","5","0.10344827586206896","5","5","1.0","5","0.13333333333333333","5","0.13333333333333333","5","0.3216337604513384","5","5","1.0","5","0.13333333333333333","5","0.13333333333333333","5"
"0","Attributes","0.125","2","2","1.0","2","0.15384615384615385","2","0.15384615384615385","2","0.7241379310344828","2","2","1.0","2","0.15384615384615385","2","0.15384615384615385","2","0.4482758620689655","2","2","1.0","2","0.15384615384615385","2","0.15384615384615385","2","0.6695340634119862","2","2","1.0","2","0.15384615384615385","2","0.15384615384615385","2"
"1","Class","1.0","1","1","1.0","1","0.2","1","0.2","1","1.0","1","1","1.0","1","0.2","1","0.2","1","1.0","1","1","1.0","1","0.2","1","0.2","1","1.0","1","1","1.0","1","0.2","1","0.2","1"
"0","Package","0.028169014084507043","5","5","1.0","5","0.2","5","0.2","5","0.645","3","3","1.0","3","0.2","3","0.2","3","0.29","3","3","1.0","3","0.2","3","0.2","3","0.5385164807134504","3","3","1.0","3","0.2","3","0.2","3"
"0","StrongReferences","0.08","3","3","1.0","3","0.13333333333333333","3","0.13333333333333333","3","0.5689655172413793","4","4","1.0","4","0.13333333333333333","4","0.13333333333333333","4","0.13793103448275862","4","4","1.0","4","0.13333333333333333","4","0.13333333333333333","4","0.3713906763541037","4","4","1.0","4","0.13333333333333333","4","0.13333333333333333","4"
" ","EXAM-BC"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
" ","EXAM-WC"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
" ","EXAM-AVG"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
"OCL6",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","4","4","0.5","4","0.13333333333333333","4","0.11764705882352941","4","0.5517241379310345","5","5","0.5","5","0.13333333333333333","5","0.11764705882352941","5","0.10344827586206896","5","5","0.5","5","0.13333333333333333","5","0.11764705882352941","5","0.3216337604513384","5","5","0.5","5","0.13333333333333333","5","0.11764705882352941","5"
"0","Attributes","0.125","2","2","0.5","2","0.15384615384615385","2","0.13333333333333333","2","0.7241379310344828","2","2","0.5","2","0.15384615384615385","2","0.13333333333333333","2","0.4482758620689655","2","2","0.5","2","0.15384615384615385","2","0.13333333333333333","2","0.6695340634119862","2","2","0.5","2","0.15384615384615385","2","0.13333333333333333","2"
"1","Class","1.0","1","1","1.0","1","0.4","1","0.4","1","1.0","1","1","1.0","1","0.4","1","0.4","1","1.0","1","1","1.0","1","0.4","1","0.4","1","1.0","1","1","1.0","1","0.4","1","0.4","1"
"0","Package","0.028169014084507043","5","5","0.5","5","0.2","5","0.16666666666666666","5","0.645","3","3","0.5","3","0.2","3","0.16666666666666666","3","0.29","3","3","0.5","3","0.2","3","0.16666666666666666","3","0.5385164807134504","3","3","0.5","3","0.2","3","0.16666666666666666","3"
"0","StrongReferences","0.08","3","3","0.5","3","0.13333333333333333","3","0.11764705882352941","3","0.5689655172413793","4","4","0.5","4","0.13333333333333333","4","0.11764705882352941","4","0.13793103448275862","4","4","0.5","4","0.13333333333333333","4","0.11764705882352941","4","0.3713906763541037","4","4","0.5","4","0.13333333333333333","4","0.11764705882352941","4"
" ","EXAM-BC"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
" ","EXAM-WC"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
" ","EXAM-AVG"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
