"OCL12",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.038461538461538464","4","4","0.5","4","0.3333333333333333","4","0.25","4","0.2121212121212121","5","5","0.5","5","0.3333333333333333","5","0.25","5","4.999675021123627E-6","5","5","0.5","5","0.3333333333333333","5","0.25","5","0.17407765595569785","5","5","0.5","5","0.3333333333333333","5","0.25","5"
"1","Attributes","1.0","1","1","0.7","1","0.5833333333333334","1","0.4666666666666667","1","0.9230769230769231","1","1","0.7","1","0.5833333333333334","1","0.4666666666666667","1","0.8461538461538461","1","1","0.7","1","0.5833333333333334","1","0.4666666666666667","1","0.9198662110077999","1","1","0.7","1","0.5833333333333334","1","0.4666666666666667","1"
"0","Class","0.1111111111111111","3","3","0.4","3","0.4","3","0.25","3","0.6896551724137931","2","2","0.4","2","0.4","2","0.25","2","0.3793103448275862","2","2","0.4","2","0.4","2","0.25","2","0.6158817620514397","2","2","0.4","2","0.4","2","0.25","2"
"0","Package","0.02247191011235955","5","5","0.2","5","0.2","5","0.1111111111111111","5","0.555","3","3","0.2","3","0.2","3","0.1111111111111111","3","0.11","3","3","0.2","3","0.2","3","0.1111111111111111","3","0.33166247903553997","4","4","0.2","4","0.2","4","0.1111111111111111","4"
"0","StrongReferences","0.13953488372093023","2","2","0.5","2","0.3333333333333333","2","0.25","2","0.5113636363636364","4","4","0.5","4","0.3333333333333333","4","0.25","4","1.1244939777100305E-4","4","4","0.5","4","0.3333333333333333","4","0.25","4","0.45226701686664544","3","3","0.5","3","0.3333333333333333","3","0.25","3"
" ","EXAM-BC"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
" ","EXAM-WC"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
" ","EXAM-AVG"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
