"OCL10",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","4","4","0.8461538461538461","4","0.7333333333333333","4","0.5789473684210527","4","0.5517241379310345","5","5","0.8461538461538461","5","0.7333333333333333","5","0.5789473684210527","5","0.10344827586206896","5","5","0.8461538461538461","5","0.7333333333333333","5","0.5789473684210527","5","0.3216337604513384","5","5","0.8461538461538461","5","0.7333333333333333","5","0.5789473684210527","5"
"1","Attributes","0.125","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2","0.7241379310344828","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2","0.4482758620689655","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2","0.6695340634119862","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2"
"0","Class","1.0","1","1","0.46153846153846156","1","0.6","1","0.35294117647058826","1","1.0","1","1","0.46153846153846156","1","0.6","1","0.35294117647058826","1","1.0","1","1","0.46153846153846156","1","0.6","1","0.35294117647058826","1","1.0","1","1","0.46153846153846156","1","0.6","1","0.35294117647058826","1"
"1","Package","0.028169014084507043","5","5","0.3076923076923077","5","0.4","5","0.21052631578947367","5","0.645","3","3","0.3076923076923077","3","0.4","3","0.21052631578947367","3","0.29","3","3","0.3076923076923077","3","0.4","3","0.21052631578947367","3","0.5385164807134504","3","3","0.3076923076923077","3","0.4","3","0.21052631578947367","3"
"0","StrongReferences","0.08","3","3","0.8461538461538461","3","0.7333333333333333","3","0.6470588235294118","3","0.5689655172413793","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4","0.13793103448275862","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4","0.3713906763541037","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4"
" ","EXAM-BC"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"
" ","EXAM-WC"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"
" ","EXAM-AVG"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"
"OCL11",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","4","4","0.6071428571428571","4","0.5666666666666667","4","0.40476190476190477","4","0.5517241379310345","5","5","0.6071428571428571","5","0.5666666666666667","5","0.40476190476190477","5","0.10344827586206896","5","5","0.6071428571428571","5","0.5666666666666667","5","0.40476190476190477","5","0.3216337604513384","5","5","0.6071428571428571","5","0.5666666666666667","5","0.40476190476190477","5"
"1","Attributes","0.125","2","2","0.7142857142857143","2","0.7692307692307693","2","0.5882352941176471","2","0.7241379310344828","2","2","0.7142857142857143","2","0.7692307692307693","2","0.5882352941176471","2","0.4482758620689655","2","2","0.7142857142857143","2","0.7692307692307693","2","0.5882352941176471","2","0.6695340634119862","2","2","0.7142857142857143","2","0.7692307692307693","2","0.5882352941176471","2"
"0","Class","1.0","1","1","0.5714285714285714","1","0.8","1","0.5","1","1.0","1","1","0.5714285714285714","1","0.8","1","0.5","1","1.0","1","1","0.5714285714285714","1","0.8","1","0.5","1","1.0","1","1","0.5714285714285714","1","0.8","1","0.5","1"
"1","Package","0.028169014084507043","5","5","0.2857142857142857","5","0.4","5","0.2","5","0.645","3","3","0.2857142857142857","3","0.4","3","0.2","3","0.29","3","3","0.2857142857142857","3","0.4","3","0.2","3","0.5385164807134504","3","3","0.2857142857142857","3","0.4","3","0.2","3"
"0","StrongReferences","0.08","3","3","0.6071428571428571","3","0.5666666666666667","3","0.40476190476190477","3","0.5689655172413793","4","4","0.6071428571428571","4","0.5666666666666667","4","0.40476190476190477","4","0.13793103448275862","4","4","0.6071428571428571","4","0.5666666666666667","4","0.40476190476190477","4","0.3713906763541037","4","4","0.6071428571428571","4","0.5666666666666667","4","0.40476190476190477","4"
" ","EXAM-BC"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"
" ","EXAM-WC"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"
" ","EXAM-AVG"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"
"OCL12",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","4","4","0.5","4","0.3333333333333333","4","0.25","4","0.5517241379310345","5","5","0.5","5","0.3333333333333333","5","0.25","5","0.10344827586206896","5","5","0.5","5","0.3333333333333333","5","0.25","5","0.3216337604513384","5","5","0.5","5","0.3333333333333333","5","0.25","5"
"1","Attributes","0.125","2","2","0.8","2","0.6153846153846154","2","0.5333333333333333","2","0.7241379310344828","2","2","0.8","2","0.6153846153846154","2","0.5333333333333333","2","0.4482758620689655","2","2","0.8","2","0.6153846153846154","2","0.5333333333333333","2","0.6695340634119862","2","2","0.8","2","0.6153846153846154","2","0.5333333333333333","2"
"0","Class","1.0","1","1","0.4","1","0.4","1","0.25","1","1.0","1","1","0.4","1","0.4","1","0.25","1","1.0","1","1","0.4","1","0.4","1","0.25","1","1.0","1","1","0.4","1","0.4","1","0.25","1"
"1","Package","0.028169014084507043","5","5","0.2","5","0.2","5","0.1111111111111111","5","0.645","3","3","0.2","3","0.2","3","0.1111111111111111","3","0.29","3","3","0.2","3","0.2","3","0.1111111111111111","3","0.5385164807134504","3","3","0.2","3","0.2","3","0.1111111111111111","3"
"0","StrongReferences","0.08","3","3","0.5","3","0.3333333333333333","3","0.25","3","0.5689655172413793","4","4","0.5","4","0.3333333333333333","4","0.25","4","0.13793103448275862","4","4","0.5","4","0.3333333333333333","4","0.25","4","0.3713906763541037","4","4","0.5","4","0.3333333333333333","4","0.25","4"
" ","EXAM-BC"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"
" ","EXAM-WC"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"
" ","EXAM-AVG"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"," ","0.4","0.4"," ","0.4"," ","0.4"," ","0.4"
"OCL2",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","4","4","0.36363636363636365","4","0.26666666666666666","4","0.18181818181818182","4","0.5517241379310345","5","5","0.36363636363636365","5","0.26666666666666666","5","0.18181818181818182","5","0.10344827586206896","5","5","0.36363636363636365","5","0.26666666666666666","5","0.18181818181818182","5","0.3216337604513384","5","5","0.36363636363636365","5","0.26666666666666666","5","0.18181818181818182","5"
"1","Attributes","0.125","2","2","0.36363636363636365","2","0.3076923076923077","2","0.2","2","0.7241379310344828","2","2","0.36363636363636365","2","0.3076923076923077","2","0.2","2","0.4482758620689655","2","2","0.36363636363636365","2","0.3076923076923077","2","0.2","2","0.6695340634119862","2","2","0.36363636363636365","2","0.3076923076923077","2","0.2","2"
