"OCL10",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"1","WeakReferences","1.0","1","1","0.8461538461538461","1","0.7333333333333333","1","0.5789473684210527","1","1.0","1","1","0.8461538461538461","1","0.7333333333333333","1","0.5789473684210527","1","1.0","1","1","0.8461538461538461","1","0.7333333333333333","1","0.5789473684210527","1","1.0","1","1","0.8461538461538461","1","0.7333333333333333","1","0.5789473684210527","1"
"0","Attributes","0.2222222222222222","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2","0.6538461538461539","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2","0.3076923076923077","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2","0.5547001962252291","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2"
"0","Class","0.08","4","4","0.46153846153846156","4","0.6","4","0.35294117647058826","4","0.5689655172413793","3","3","0.46153846153846156","3","0.6","3","0.35294117647058826","3","0.13793103448275862","3","3","0.46153846153846156","3","0.6","3","0.35294117647058826","3","0.3713906763541037","3","3","0.46153846153846156","3","0.6","3","0.35294117647058826","3"
"0","Package","0.020833333333333332","5","5","0.3076923076923077","5","0.4","5","0.21052631578947367","5","0.52","4","4","0.3076923076923077","4","0.4","4","0.21052631578947367","4","0.04","4","4","0.3076923076923077","4","0.4","4","0.21052631578947367","4","0.2","5","5","0.3076923076923077","5","0.4","5","0.21052631578947367","5"
"1","StrongReferences","0.11764705882352941","3","3","0.8461538461538461","3","0.7333333333333333","3","0.6470588235294118","3","0.29166666666666663","5","5","0.8461538461538461","5","0.7333333333333333","5","0.6470588235294118","5","1.6665000166650003E-5","5","5","0.8461538461538461","5","0.7333333333333333","5","0.6470588235294118","5","0.2886751345948129","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4"
" ","EXAM-BC"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
" ","EXAM-WC"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
" ","EXAM-AVG"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"," ","0.2","0.2"," ","0.2"," ","0.2"," ","0.2"
"OCL9",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
