"Case","Buggy Rule","Ncf","Nuf","Ncs","Nus","Nc","Nu","Ns","Nf","Mountford","Kulcynski2","Zoltar","Ochiai","CC","RC","RCR","Constraint","Rule","Mutant"
"4","0","3.0","97.0","0.0","0.0","3.0","97.0","0.0","100.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.35","0.7","0.2916666666666667","12","WeakReferences","Mutant10"
"4","0","6.0","94.0","0.0","0.0","6.0","94.0","0.0","100.0","0.02127659574468085","0.53","0.06","0.24494897427831783","0.45","0.75","0.375","12","References","Mutant10"
"4","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.7","1.0","0.7","12","Attributes","Mutant10"
"4","0","29.0","71.0","0.0","0.0","29.0","71.0","0.0","100.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.4","0.6666666666666666","0.3333333333333333","12","Class","Mutant10"
"4","0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.2","0.3333333333333333","0.14285714285714285","12","Package","Mutant10"
"4","1","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.2","1.0","0.2","12","NamedElement","Mutant10"
"4","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.4","1.0","0.4","12","Property","Mutant10"
"4","0","4.0","96.0","0.0","0.0","4.0","96.0","0.0","100.0","0.020833333333333332","0.52","0.04","0.2","0.35","0.7","0.2916666666666667","12","StrongReferences","Mutant10"
"5","0","3.0","0.0","0.0","97.0","3.0","97.0","97.0","3.0","1.0","1.0","1.0","1.0","0.42857142857142855","0.6","0.3333333333333333","13","WeakReferences","Mutant10"
"5","0","3.0","0.0","3.0","94.0","6.0","94.0","97.0","3.0","0.6666666666666666","0.75","0.5","0.7071067811865476","0.5714285714285714","0.6666666666666666","0.36363636363636365","13","References","Mutant10"
"5","0","3.0","0.0","10.0","87.0","13.0","87.0","97.0","3.0","0.2","0.6153846153846154","0.23076923076923078","0.48038446141526137","0.2857142857142857","0.2857142857142857","0.16666666666666666","13","Attributes","Mutant10"
"5","0","3.0","0.0","26.0","71.0","29.0","71.0","97.0","3.0","0.07692307692307693","0.5517241379310345","0.10344827586206896","0.3216337604513384","0.42857142857142855","0.5","0.3","13","Class","Mutant10"
"5","0","3.0","0.0","97.0","0.0","100.0","0.0","97.0","3.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.2857142857142857","0.3333333333333333","0.18181818181818182","13","Package","Mutant10"
"5","1","3.0","0.0","97.0","0.0","100.0","0.0","97.0","3.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.2857142857142857","1.0","0.2857142857142857","13","NamedElement","Mutant10"
"5","0","3.0","0.0","10.0","87.0","13.0","87.0","97.0","3.0","0.2","0.6153846153846154","0.23076923076923078","0.48038446141526137","0.42857142857142855","0.75","0.3333333333333333","13","Property","Mutant10"
"5","0","1.0","2.0","3.0","94.0","4.0","96.0","97.0","3.0","0.11764705882352941","0.29166666666666663","1.67","0.2886751345948129","0.2857142857142857","0.4","0.2","13","StrongReferences","Mutant10"
"6","0","1.0","3.0","2.0","94.0","3.0","97.0","96.0","4.0","0.11764705882352941","0.29166666666666663","1.67","0.2886751345948129","0.2857142857142857","0.4","0.2","14","WeakReferences","Mutant10"
"6","0","4.0","0.0","2.0","94.0","6.0","94.0","96.0","4.0","1.0","0.8333333333333333","0.6666666666666666","0.8164965809277261","0.5714285714285714","0.6666666666666666","0.36363636363636365","14","References","Mutant10"
"6","0","4.0","0.0","9.0","87.0","13.0","87.0","96.0","4.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.2857142857142857","0.2857142857142857","0.16666666666666666","14","Attributes","Mutant10"
"6","0","4.0","0.0","25.0","71.0","29.0","71.0","96.0","4.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.42857142857142855","0.5","0.3","14","Class","Mutant10"
"6","0","4.0","0.0","96.0","0.0","100.0","0.0","96.0","4.0","0.020833333333333332","0.52","0.04","0.2","0.2857142857142857","0.3333333333333333","0.18181818181818182","14","Package","Mutant10"
"6","1","4.0","0.0","96.0","0.0","100.0","0.0","96.0","4.0","0.020833333333333332","0.52","0.04","0.2","0.2857142857142857","1.0","0.2857142857142857","14","NamedElement","Mutant10"
"6","0","4.0","0.0","9.0","87.0","13.0","87.0","96.0","4.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.42857142857142855","0.75","0.3333333333333333","14","Property","Mutant10"
"6","0","4.0","0.0","0.0","96.0","4.0","96.0","96.0","4.0","1.0","1.0","1.0","1.0","0.42857142857142855","0.6","0.3333333333333333","14","StrongReferences","Mutant10"
"7","0","3.0","97.0","0.0","0.0","3.0","97.0","0.0","100.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.18181818181818182","0.4","0.14285714285714285","2","WeakReferences","Mutant10"
"7","0","6.0","94.0","0.0","0.0","6.0","94.0","0.0","100.0","0.02127659574468085","0.53","0.06","0.24494897427831783","0.18181818181818182","0.3333333333333333","0.13333333333333333","2","References","Mutant10"
"7","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.18181818181818182","0.2857142857142857","0.125","2","Attributes","Mutant10"
"7","0","29.0","71.0","0.0","0.0","29.0","71.0","0.0","100.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.36363636363636365","0.6666666666666666","0.3076923076923077","2","Class","Mutant10"
"7","0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.45454545454545453","0.8333333333333334","0.4166666666666667","2","Package","Mutant10"
"7","1","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.18181818181818182","1.0","0.18181818181818182","2","NamedElement","Mutant10"
"7","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.18181818181818182","0.5","0.15384615384615385","2","Property","Mutant10"
"7","0","4.0","96.0","0.0","0.0","4.0","96.0","0.0","100.0","0.020833333333333332","0.52","0.04","0.2","0.18181818181818182","0.4","0.14285714285714285","2","StrongReferences","Mutant10"
"8","0","3.0","97.0","0.0","0.0","3.0","97.0","0.0","100.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.3333333333333333","0.8","0.2857142857142857","3","WeakReferences","Mutant10"
"8","0","6.0","94.0","0.0","0.0","6.0","94.0","0.0","100.0","0.02127659574468085","0.53","0.06","0.24494897427831783","0.3333333333333333","0.6666666666666666","0.26666666666666666","3","References","Mutant10"
"8","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.2916666666666667","0.5","0.21875","3","Attributes","Mutant10"
"8","0","29.0","71.0","0.0","0.0","29.0","71.0","0.0","100.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.5","1.0","0.5","3","Class","Mutant10"
"8","0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.16666666666666666","0.3333333333333333","0.125","3","Package","Mutant10"
"8","1","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.16666666666666666","1.0","0.16666666666666666","3","NamedElement","Mutant10"
"8","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.3333333333333333","1.0","0.3333333333333333","3","Property","Mutant10"
"8","0","4.0","96.0","0.0","0.0","4.0","96.0","0.0","100.0","0.020833333333333332","0.52","0.04","0.2","0.3333333333333333","0.8","0.2857142857142857","3","StrongReferences","Mutant10"
"9","0","3.0","97.0","0.0","0.0","3.0","97.0","0.0","100.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.25","0.7","0.21875","8","WeakReferences","Mutant10"
"9","0","6.0","94.0","0.0","0.0","6.0","94.0","0.0","100.0","0.02127659574468085","0.53","0.06","0.24494897427831783","0.32142857142857145","0.75","0.28125","8","References","Mutant10"
"9","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.35714285714285715","0.7142857142857143","0.3125","8","Attributes","Mutant10"
"9","0","29.0","71.0","0.0","0.0","29.0","71.0","0.0","100.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.42857142857142855","1.0","0.42857142857142855","8","Class","Mutant10"
"9","0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.14285714285714285","0.3333333333333333","0.1111111111111111","8","Package","Mutant10"
"9","1","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.14285714285714285","1.0","0.14285714285714285","8","NamedElement","Mutant10"
"9","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.2857142857142857","1.0","0.2857142857142857","8","Property","Mutant10"
"9","0","4.0","96.0","0.0","0.0","4.0","96.0","0.0","100.0","0.020833333333333332","0.52","0.04","0.2","0.25","0.7","0.21875","8","StrongReferences","Mutant10"
"10","0","3.0","97.0","0.0","0.0","3.0","97.0","0.0","100.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.38461538461538464","1.0","0.38461538461538464","9","WeakReferences","Mutant10"
"10","0","6.0","94.0","0.0","0.0","6.0","94.0","0.0","100.0","0.02127659574468085","0.53","0.06","0.24494897427831783","0.38461538461538464","0.8333333333333334","0.3333333333333333","9","References","Mutant10"
"10","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.34615384615384615","0.6428571428571429","0.28125","9","Attributes","Mutant10"
"10","0","29.0","71.0","0.0","0.0","29.0","71.0","0.0","100.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.3076923076923077","0.6666666666666666","0.26666666666666666","9","Class","Mutant10"
"10","0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.15384615384615385","0.3333333333333333","0.11764705882352941","9","Package","Mutant10"
"10","1","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","1.0","1.0","1.0","1.0","0.15384615384615385","1.0","0.15384615384615385","9","NamedElement","Mutant10"
"10","0","13.0","87.0","0.0","0.0","13.0","87.0","0.0","100.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.3076923076923077","1.0","0.3076923076923077","9","Property","Mutant10"
"10","0","4.0","96.0","0.0","0.0","4.0","96.0","0.0","100.0","0.020833333333333332","0.52","0.04","0.2","0.38461538461538464","1.0","0.35714285714285715","9","StrongReferences","Mutant10"
"11","0","3.0","10.0","0.0","87.0","3.0","97.0","87.0","13.0","0.2","0.6153846153846154","0.23076923076923078","0.48038446141526137","0.25","0.7","0.21875","11","WeakReferences","Mutant11"
"11","0","6.0","7.0","0.0","87.0","6.0","94.0","87.0","13.0","0.2857142857142857","0.7307692307692308","0.46153846153846156","0.6793662204867574","0.32142857142857145","0.75","0.28125","11","References","Mutant11"
"11","1","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.32142857142857145","0.9","0.3","11","Attributes","Mutant11"
"11","0","13.0","0.0","16.0","71.0","29.0","71.0","87.0","13.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.42857142857142855","1.0","0.42857142857142855","11","Class","Mutant11"
"11","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.14285714285714285","0.3333333333333333","0.1111111111111111","11","Package","Mutant11"
"11","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.2857142857142857","1.0","0.2857142857142857","11","NamedElement","Mutant11"
"11","0","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.2857142857142857","1.0","0.2857142857142857","11","Property","Mutant11"
"11","0","4.0","9.0","0.0","87.0","4.0","96.0","87.0","13.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.25","0.7","0.21875","11","StrongReferences","Mutant11"
"12","0","3.0","10.0","0.0","87.0","3.0","97.0","87.0","13.0","0.2","0.6153846153846154","0.23076923076923078","0.48038446141526137","0.35","0.7","0.2916666666666667","12","WeakReferences","Mutant11"
"12","0","6.0","7.0","0.0","87.0","6.0","94.0","87.0","13.0","0.2857142857142857","0.7307692307692308","0.46153846153846156","0.6793662204867574","0.45","0.75","0.375","12","References","Mutant11"
"12","1","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.45","0.9","0.4090909090909091","12","Attributes","Mutant11"
"12","0","13.0","0.0","16.0","71.0","29.0","71.0","87.0","13.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.4","0.6666666666666666","0.3333333333333333","12","Class","Mutant11"
"12","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.2","0.3333333333333333","0.14285714285714285","12","Package","Mutant11"
"12","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.2","0.5","0.16666666666666666","12","NamedElement","Mutant11"
"12","0","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.4","1.0","0.4","12","Property","Mutant11"
"12","0","4.0","9.0","0.0","87.0","4.0","96.0","87.0","13.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.35","0.7","0.2916666666666667","12","StrongReferences","Mutant11"
"13","0","3.0","10.0","0.0","87.0","3.0","97.0","87.0","13.0","0.2","0.6153846153846154","0.23076923076923078","0.48038446141526137","0.2857142857142857","0.4","0.2","14","WeakReferences","Mutant11"
"13","0","6.0","7.0","0.0","87.0","6.0","94.0","87.0","13.0","0.2857142857142857","0.7307692307692308","0.46153846153846156","0.6793662204867574","0.5714285714285714","0.6666666666666666","0.36363636363636365","14","References","Mutant11"
"13","1","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.42857142857142855","0.6","0.3333333333333333","14","Attributes","Mutant11"
"13","0","13.0","0.0","16.0","71.0","29.0","71.0","87.0","13.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.42857142857142855","0.5","0.3","14","Class","Mutant11"
"13","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.2857142857142857","0.3333333333333333","0.18181818181818182","14","Package","Mutant11"
"13","0","13.0","0.0","87.0","0.0","100.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","0.42857142857142855","0.75","0.375","14","NamedElement","Mutant11"
"13","0","13.0","0.0","0.0","87.0","13.0","87.0","87.0","13.0","1.0","1.0","1.0","1.0","0.42857142857142855","0.75","0.3333333333333333","14","Property","Mutant11"
"13","0","4.0","9.0","0.0","87.0","4.0","96.0","87.0","13.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.42857142857142855","0.6","0.3333333333333333","14","StrongReferences","Mutant11"
"14","0","3.0","10.0","0.0","87.0","3.0","97.0","87.0","13.0","0.2","0.6153846153846154","0.23076923076923078","0.48038446141526137","0.25","0.7","0.21875","8","WeakReferences","Mutant11"
