"OCL3","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"1","WeakReferences","0.0","8","8","0.6666666666666666","8","0.5","8","0.4","8","0.0","8","8","0.6666666666666666","8","0.5","8","0.4","8","0.0","8","8","0.6666666666666666","8","0.5","8","0.4","8","0.0","8","8","0.6666666666666666","8","0.5","8","0.4","8"
"0","References","0.11764705882352941","3","3","0.6666666666666666","3","0.6666666666666666","3","0.5","3","0.29166666666666663","6","6","0.6666666666666666","6","0.6666666666666666","6","0.5","6","1.67","1","1","0.6666666666666666","1","0.6666666666666666","1","0.5","1","0.2886751345948129","4","4","0.6666666666666666","4","0.6666666666666666","4","0.5","4"
"0","Attributes","0.2","1","1","0.6666666666666666","1","0.6153846153846154","2","0.47058823529411764","2","0.6153846153846154","1","1","0.6666666666666666","1","0.6153846153846154","2","0.47058823529411764","2","0.23076923076923078","3","3","0.6666666666666666","3","0.6153846153846154","4","0.47058823529411764","4","0.48038446141526137","1","1","0.6666666666666666","1","0.6153846153846154","2","0.47058823529411764","2"
"0","Class","0.07692307692307693","5","5","0.6666666666666666","5","0.8","5","0.5714285714285714","5","0.5517241379310345","3","3","0.6666666666666666","3","0.8","3","0.5714285714285714","3","0.10344827586206896","5","5","0.6666666666666666","5","0.8","5","0.5714285714285714","5","0.3216337604513384","3","3","0.6666666666666666","3","0.8","3","0.5714285714285714","3"
"0","Package","0.020618556701030927","6","6","0.3333333333333333","6","0.4","7","0.2222222222222222","7","0.515","4","4","0.3333333333333333","4","0.4","5","0.2222222222222222","5","0.03","6","6","0.3333333333333333","6","0.4","7","0.2222222222222222","7","0.1732050807568877","6","6","0.3333333333333333","6","0.4","7","0.2222222222222222","7"
"0","NamedElement","0.020618556701030927","6","6","0.3333333333333333","6","1.0","6","0.3333333333333333","6","0.515","4","4","0.3333333333333333","4","1.0","4","0.3333333333333333","4","0.03","6","6","0.3333333333333333","6","1.0","6","0.3333333333333333","6","0.1732050807568877","6","6","0.3333333333333333","6","1.0","6","0.3333333333333333","6"
"0","Property","0.2","1","1","0.6666666666666666","1","1.0","1","0.6666666666666666","1","0.6153846153846154","1","1","0.6666666666666666","1","1.0","1","0.6666666666666666","1","0.23076923076923078","3","3","0.6666666666666666","3","1.0","3","0.6666666666666666","3","0.48038446141526137","1","1","0.6666666666666666","1","1.0","1","0.6666666666666666","1"
"0","StrongReferences","0.11764705882352941","3","3","0.6666666666666666","3","0.5333333333333333","4","0.42105263157894735","4","0.29166666666666663","6","6","0.6666666666666666","6","0.5333333333333333","7","0.42105263157894735","7","1.67","1","1","0.6666666666666666","1","0.5333333333333333","2","0.42105263157894735","2","0.2886751345948129","4","4","0.6666666666666666","4","0.5333333333333333","5","0.42105263157894735","5"
" ","EXAM-BC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-WC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
