"Case","Buggy Rule","Ncf","Nuf","Ncs","Nus","Nc","Nu","Ns","Nf","Mountford","Kulcynski2","Zoltar","Ochiai","CC","RC","RCR","Constraint","Rule","Mutant"
"5","1","13.0","16.0","0.0","71.0","13.0","16.0","71.0","29.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.6923076923076923","0.8181818181818182","0.5625","10","Attributes","Mutant13"
"5","1","29.0","0.0","0.0","71.0","29.0","0.0","71.0","29.0","1.0","1.0","1.0","1.0","0.46153846153846156","0.6","0.35294117647058826","10","Class","Mutant13"
"5","0","29.0","0.0","71.0","0.0","29.0","0.0","71.0","29.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.3076923076923077","0.4","0.21052631578947367","10","Package","Mutant13"
"5","0","4.0","25.0","0.0","71.0","4.0","25.0","71.0","29.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.8461538461538461","0.7333333333333333","0.6470588235294118","10","StrongReferences","Mutant13"
"6","0","3.0","26.0","0.0","71.0","3.0","26.0","71.0","29.0","0.07692307692307693","0.5517241379310345","0.10344827586206896","0.3216337604513384","0.6071428571428571","0.5666666666666667","0.40476190476190477","11","WeakReferences","Mutant13"
"6","1","13.0","16.0","0.0","71.0","13.0","16.0","71.0","29.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.7142857142857143","0.9090909090909091","0.6666666666666666","11","Attributes","Mutant13"
"6","1","29.0","0.0","0.0","71.0","29.0","0.0","71.0","29.0","1.0","1.0","1.0","1.0","0.5714285714285714","0.8","0.5","11","Class","Mutant13"
"6","0","29.0","0.0","71.0","0.0","29.0","0.0","71.0","29.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.2857142857142857","0.4","0.2","11","Package","Mutant13"
"6","0","4.0","25.0","0.0","71.0","4.0","25.0","71.0","29.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.6071428571428571","0.5666666666666667","0.40476190476190477","11","StrongReferences","Mutant13"
"7","0","3.0","26.0","0.0","71.0","3.0","26.0","71.0","29.0","0.07692307692307693","0.5517241379310345","0.10344827586206896","0.3216337604513384","0.5","0.3333333333333333","0.25","12","WeakReferences","Mutant13"
"7","1","13.0","16.0","0.0","71.0","13.0","16.0","71.0","29.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.6","0.5454545454545454","0.4","12","Attributes","Mutant13"
"7","1","29.0","0.0","0.0","71.0","29.0","0.0","71.0","29.0","1.0","1.0","1.0","1.0","0.4","0.4","0.25","12","Class","Mutant13"
"7","0","29.0","0.0","71.0","0.0","29.0","0.0","71.0","29.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.2","0.2","0.1111111111111111","12","Package","Mutant13"
"7","0","4.0","25.0","0.0","71.0","4.0","25.0","71.0","29.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.5","0.3333333333333333","0.25","12","StrongReferences","Mutant13"
"8","0","3.0","0.0","0.0","97.0","3.0","0.0","97.0","3.0","1.0","1.0","1.0","1.0","0.7142857142857143","0.3333333333333333","0.2777777777777778","13","WeakReferences","Mutant13"
"8","1","3.0","0.0","10.0","87.0","3.0","0.0","97.0","3.0","0.2","0.6153846153846154","0.23076923076923078","0.48038446141526137","0.5714285714285714","0.36363636363636365","0.26666666666666666","13","Attributes","Mutant13"
"8","1","3.0","0.0","26.0","71.0","3.0","0.0","97.0","3.0","0.07692307692307693","0.5517241379310345","0.10344827586206896","0.3216337604513384","0.7142857142857143","0.5","0.4166666666666667","13","Class","Mutant13"
"8","0","3.0","0.0","97.0","0.0","3.0","0.0","97.0","3.0","0.020618556701030927","0.515","0.03","0.1732050807568877","0.42857142857142855","0.3","0.21428571428571427","13","Package","Mutant13"
"8","0","1.0","2.0","3.0","94.0","1.0","2.0","97.0","3.0","0.11764705882352941","0.29166666666666663","1.6665000166650003E-5","0.2886751345948129","0.7142857142857143","0.3333333333333333","0.2631578947368421","13","StrongReferences","Mutant13"
"9","0","1.0","3.0","2.0","94.0","1.0","3.0","96.0","4.0","0.11764705882352941","0.29166666666666663","1.6665000166650003E-5","0.2886751345948129","0.7142857142857143","0.3333333333333333","0.2631578947368421","14","WeakReferences","Mutant13"
"9","1","4.0","0.0","9.0","87.0","4.0","0.0","96.0","4.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","0.5714285714285714","0.36363636363636365","0.26666666666666666","14","Attributes","Mutant13"
"9","1","4.0","0.0","25.0","71.0","4.0","0.0","96.0","4.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.7142857142857143","0.5","0.4166666666666667","14","Class","Mutant13"
"9","0","4.0","0.0","96.0","0.0","4.0","0.0","96.0","4.0","0.020833333333333332","0.52","0.04","0.2","0.42857142857142855","0.3","0.21428571428571427","14","Package","Mutant13"
"9","0","4.0","0.0","0.0","96.0","4.0","0.0","96.0","4.0","1.0","1.0","1.0","1.0","0.7142857142857143","0.3333333333333333","0.2777777777777778","14","StrongReferences","Mutant13"
"10","0","3.0","26.0","0.0","71.0","3.0","26.0","71.0","29.0","0.07692307692307693","0.5517241379310345","0.10344827586206896","0.3216337604513384","0.36363636363636365","0.26666666666666666","0.18181818181818182","2","WeakReferences","Mutant13"
"10","1","13.0","16.0","0.0","71.0","13.0","16.0","71.0","29.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.36363636363636365","0.36363636363636365","0.2222222222222222","2","Attributes","Mutant13"
